Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
470,Intel,Celeron,Arrandale,,U3600,,1200.0,,2,2,18.0,,382.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Intel,Celeron,Arrandale,,P4600,,2000.0,,2,2,35.0,,382.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Intel,Celeron,Sandy Bridge,,G530,,2400.0,,2,2,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Intel,Celeron,Sandy Bridge,,G530T,,2000.0,,2,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Intel,Celeron,Sandy Bridge,,G540T,,2100.0,,2,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Intel,Celeron,Sandy Bridge,,G550,,2600.0,,2,2,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Intel,Celeron,Penryn,,763,,1400.0,,1,1,10.0,,410.0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,
573,Intel,Celeron,Penryn,,925,,2300.0,,1,1,35.0,,410.0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,
590,Intel,Celeron,Sandy Bridge,,847,,1100.0,,2,2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
593,Intel,Celeron,Sandy Bridge,,G440,,1600.0,,1,1,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Intel,Celeron,Sandy Bridge,,B710,,1600.0,,1,1,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,,,,,,,,,,,,,,,,,
596,Intel,Celeron,Sandy Bridge,,B800,,1500.0,,2,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
597,Intel,Celeron,Sandy Bridge,,787,,1300.0,,1,1,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,,,,,,,,,,,,,,,,,
598,Intel,Celeron,Sandy Bridge,,857,,1200.0,,2,2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
602,Intel,Celeron,Sandy Bridge,,B840,,1900.0,,2,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
609,Intel,Celeron,Sandy Bridge,,G460,,1800.0,,2,1,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Intel,Celeron,Sandy Bridge,,797,,1400.0,,1,1,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,,,,,,,,,,,,,,,,,
613,Intel,Celeron,Sandy Bridge,,867,,1300.0,,2,2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
614,Intel,Celeron,Sandy Bridge,,B815,,1600.0,,2,2,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
615,Intel,Celeron,Sandy Bridge,,B720,,1700.0,,1,1,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
695,Intel,Celeron,Sandy Bridge,,807,,1500.0,,2,1,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,
1069,Intel,Celeron,Conroe-L,Core:Conroe,440,,2000.0,,1,1,,,,,,,,,,,,,11.1,11.4,12.1,7.41,10.4,10.7,12.5,8.33,12.1,14.0,19.2,9.15,7.02,15.7,20.3,13.2,10.3,9.77,10.3,14.2,9.85,10.3,15.1,9.46,12.1,9.34,8.57,9.2,10.5,13.0,12.7,,32,32,512,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.435740971357404,,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1070,Intel,Celeron,Conroe-CL,Core:Conroe,445,,1866.0,,1,1,,,,,,,,,,,,,10.9,11.1,10.6,6.68,9.08,10.6,11.0,9.59,10.8,24.6,17.5,8.82,6.72,14.3,17.9,12.8,9.48,9.2,10.1,13.4,9.87,9.79,14.1,8.65,13.3,9.02,8.47,9.89,10.4,13.5,12.3,,32,32,512,1,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.435740971357404,,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
1071,Intel,Celeron,Mendocino,P6:Pentium II,300A,1998-08-01,300.0,,1,1,17.8,,7.5,154,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,512,1,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,2.0,"mul(360,channel_length)"
1072,Intel,Celeron,N/A,P6:Pentium II,,,266.0,,1,1,16.59,,,,,2.0,,,7.7299999999999995,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,2.0,"mul(360,channel_length)"
1073,Intel,Celeron,Covington,P6:Pentium II,,,300.0,,1,1,,,,,,,,,8.551198746374686,5.9185724630184255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,,"mul(360,channel_length)"
1074,Intel,Celeron,Mendocino,P6:Pentium II,,,333.0,,1,1,19.7,,19.0,154,,2.0,,,12.596428065130214,8.998749913182388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,128,1,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,2.0,"mul(360,channel_length)"
1075,Intel,Celeron,Mendocino,P6:Pentium II,,,366.0,,1,1,,,,,,,,,13.9,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,128,1,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,,"mul(360,channel_length)"
1076,Intel,Celeron,Mendocino,P6:Pentium II,,,400.0,,1,1,23.7,,19.0,154,,2.0,,,14.899999999999997,10.000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,128,1,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,2.0,"mul(360,channel_length)"
1077,Intel,Celeron,Mendocino,P6:Pentium II,,,433.0,,1,1,,,,,,,,,15.799999999999997,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,128,1,,,,,,,,,,Intel,P856,0.25,0.2,5,aluminum,72.0,,"mul(360,channel_length)"
1078,Intel,Celeron,Wolfdale,Core:Wolfdale,E3200,2009-08-30,2400.0,,2,2,65.0,64,,82,0.85,1.3625,,,,,,,16.14992260043372,16.699700596118483,15.2,9.394934805521537,13.149904942622209,19.2,15.1,13.299999999999999,15.799999999999999,60.399917218486316,24.9499498997493,10.849884792015075,9.119912280279893,18.5,25.59687480924185,17.6,16.449316095205905,19.699746191258402,15.449919093639293,28.449604566671923,13.198484761517134,13.0,20.049937655763422,11.249888888340188,19.54993606127652,17.8,13.896762212832167,14.14991166050163,12.898449519225169,17.24934781375806,15.949294655250432,,32,32,1024,,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.3625,"mul(360,Leff)"
1079,Intel,Celeron,Wolfdale,Core:Wolfdale,E3300,2009-08-30,2500.0,,2,2,65.0,64,,82,0.85,1.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,1024,,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.3625,"mul(360,Leff)"
1080,Intel,Celeron,Clarkdale,Nehalem,G1101,,2267.0,,1,2,,,,,,,,,,,,,18.537302156200457,21.862045911967204,15.509762331713562,10.34987922634849,13.693930204603445,19.81087228053782,15.972260242139402,20.737443535353275,16.57494332481122,119.7397885077374,24.43544799811398,10.761572686023749,11.03739398739955,20.083243108567636,45.38665555153903,17.362432440408345,32.630572625825266,21.112177765380718,15.33742367686822,30.237212883239817,19.124753780734906,13.237411584094962,24.36240071438052,15.599435949334707,19.199544259463586,18.011775540287257,25.336164407239682,17.0373238149203,32.65916716024786,28.04977654266962,17.811978235448436,,32,32,256,1,2048,,,,,,,,,Intel,,0.032,0.018,9,copper,6.48,,"mul(360,Leff)"
1081,Intel,Celeron,Penryn,Core:Penryn,SU2300,2009-09-27,1200.0,,2,2,10.0,64,410.0,107,1.05,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,1024,,,,,,,,,,,Intel,,0.045,0.035,9,copper,12.6,1.15,"mul(360,Leff)"
1082,Intel,Celeron,Merom,Core:Merom,560,2007-12-30,2130.0,,1,1,31.0,64,291.0,143,0.95,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,1024,,,,,,,,,,,Intel,P1264,0.065,0.035,8,copper,11.025925925932714,1.3,"add(linreg_intercept(delays),mul(4,linreg_slope(delays)))"
